iter	MultiClass
0	1.600886453
1	1.59177935
2	1.582957084
3	1.575879906
4	1.566904841
5	1.560227637
6	1.551599103
7	1.543425439
8	1.533279557
9	1.525129247
10	1.515700797
11	1.508037969
12	1.498907692
13	1.490782171
14	1.480115332
15	1.473225105
16	1.465529169
17	1.45711441
18	1.449485602
19	1.439193165
20	1.432326043
21	1.425231246
22	1.418478099
23	1.411020528
24	1.40494896
25	1.397432985
26	1.389674773
27	1.381449235
28	1.37324221
29	1.366416567
30	1.359107384
31	1.350306531
32	1.34315607
33	1.336009502
34	1.327920628
35	1.322479208
36	1.315610819
37	1.308213333
38	1.301044949
39	1.293496444
40	1.287553438
41	1.282341402
42	1.27691304
43	1.27169572
44	1.266567189
45	1.259632568
46	1.253986414
47	1.247198874
48	1.241314885
49	1.235519469
50	1.230658843
51	1.224273917
52	1.219927272
53	1.21523705
54	1.209651319
55	1.205651081
56	1.201024545
57	1.195958879
58	1.191092285
59	1.185946214
60	1.18021939
61	1.175648452
62	1.171145188
63	1.165968701
64	1.161333979
65	1.156980398
66	1.151948236
67	1.148121299
68	1.143138526
69	1.138576265
70	1.133996118
71	1.129548766
72	1.124773778
73	1.120828658
74	1.116524097
75	1.112343077
76	1.10877462
77	1.105885481
78	1.100638157
79	1.09598323
80	1.091407323
81	1.086924886
82	1.083346884
83	1.080437307
84	1.076179579
85	1.072484401
86	1.068675389
87	1.064865255
88	1.060419192
89	1.05615147
90	1.05224833
91	1.048481908
92	1.044846272
93	1.041224099
94	1.037098798
95	1.033461289
96	1.029303192
97	1.025412257
98	1.021958809
99	1.01969297
100	1.015842979
101	1.011636377
102	1.008675061
103	1.005181412
104	1.001590127
105	0.9978479467
106	0.9948169937
107	0.991418408
108	0.9877449191
109	0.9845128929
110	0.9817897241
111	0.9784350043
112	0.9757582406
113	0.9719558488
114	0.9686565655
115	0.9659881956
116	0.9623453893
117	0.9591604547
118	0.9563319736
119	0.953435597
120	0.9506030082
121	0.9478128187
122	0.945479791
123	0.942418853
124	0.9387664487
125	0.935576204
126	0.9329008677
127	0.9305320381
128	0.9270168084
129	0.9242874357
130	0.9212041485
131	0.9177690384
132	0.9147541159
133	0.911814608
134	0.9085104886
135	0.9060256023
136	0.9036474174
137	0.9003397093
138	0.8981038865
139	0.895550516
140	0.8929042705
141	0.8898301732
142	0.8872789408
143	0.8848338449
144	0.8825593886
145	0.8807739341
146	0.8777033171
147	0.8751002838
148	0.8729121911
149	0.8704642175
150	0.8684655545
151	0.8661715956
152	0.8639437845
153	0.8618709142
154	0.8591681645
155	0.8569679384
156	0.8545262446
157	0.8521916542
158	0.849833246
159	0.847813143
160	0.8462003504
161	0.8439168767
162	0.8419648526
163	0.8394150396
164	0.8374299961
165	0.8346403941
166	0.8325933304
167	0.8306500141
168	0.8290601378
169	0.8269813224
170	0.8248186711
171	0.8224070766
172	0.8210448302
173	0.8191557533
174	0.8166259317
175	0.8146378891
176	0.8125210352
177	0.8116348218
178	0.8096208961
179	0.8079296104
180	0.8059680117
181	0.8039342076
182	0.8017042204
183	0.8000598685
184	0.7980379557
185	0.7964051602
186	0.7939427461
187	0.7917134499
188	0.79028244
189	0.7886006793
190	0.7863445533
191	0.7842644179
192	0.7829945517
193	0.7810968495
194	0.7788221702
195	0.7770272034
196	0.7746174428
197	0.7730444411
198	0.7717370271
199	0.7699248094
