iter	Passed	Remaining
0	6	1262
1	11	1185
2	17	1142
3	23	1133
4	29	1134
5	35	1156
6	41	1149
7	47	1131
8	48	1039
9	54	1037
10	60	1031
11	65	1027
12	71	1023
13	72	966
14	78	964
15	83	962
16	89	960
17	94	958
18	100	953
19	105	949
20	108	923
21	113	920
22	119	918
23	124	914
24	127	893
25	133	890
26	138	888
27	144	884
28	149	881
29	149	848
30	155	846
31	160	842
32	166	840
33	171	836
34	176	832
35	182	829
36	187	826
37	193	823
38	198	819
39	199	796
40	201	783
41	207	780
42	212	776
43	218	773
44	223	770
45	229	766
46	234	763
47	234	743
48	240	741
49	246	738
50	247	722
51	252	718
52	257	715
53	263	711
54	268	708
55	269	692
56	274	689
57	280	685
58	285	682
59	290	678
60	293	669
61	299	666
62	304	662
63	307	653
64	312	649
65	313	636
66	318	633
67	324	629
68	327	621
69	332	617
70	338	614
71	344	611
72	349	608
73	355	605
74	356	593
75	362	590
76	363	579
77	363	568
78	369	565
79	374	562
80	380	559
81	386	556
82	392	552
83	397	549
84	403	545
85	408	541
86	414	537
87	419	534
88	425	530
89	430	526
90	436	522
91	441	518
92	447	514
93	452	510
94	458	506
95	463	502
96	469	498
97	474	493
98	479	489
99	480	480
100	486	476
101	491	472
102	497	468
103	502	463
104	503	455
105	508	451
106	510	443
107	511	435
108	516	431
109	522	427
110	527	423
111	533	419
112	533	410
113	539	406
114	544	402
115	550	398
116	555	394
117	560	389
118	566	385
119	571	381
120	573	374
121	579	370
122	579	363
123	582	357
124	585	351
125	591	347
126	596	343
127	602	338
128	608	334
129	613	330
130	619	326
131	624	321
132	630	317
133	636	313
134	641	308
135	647	304
136	652	300
137	655	294
138	660	289
139	666	285
140	671	281
141	677	276
142	682	272
143	684	266
144	684	259
145	686	253
146	692	249
147	697	245
148	702	240
149	704	234
150	709	230
151	715	225
152	720	221
153	726	216
154	727	211
155	731	206
156	736	201
157	742	197
158	747	192
159	749	187
160	755	182
161	758	177
162	763	173
163	769	168
164	770	163
165	776	158
166	781	154
167	787	149
168	787	144
169	792	139
170	798	135
171	803	130
172	804	125
173	809	120
174	815	116
175	820	111
176	825	107
177	826	102
178	831	97
179	837	93
180	842	88
181	848	83
182	853	79
183	856	74
184	859	69
185	860	64
186	866	60
187	871	55
188	874	50
189	880	46
190	885	41
191	890	37
192	891	32
193	896	27
194	902	23
195	907	18
196	913	13
197	913	9
198	919	4
199	924	0
